title,description,proposal
Create logo for a marketing agency,"The company is called Mindshare Lab. We help visionary tech founders escape the sea of sameness, build category-defining brands, and create lasting social impact. Mission: Build movements that matter Values: - We position your company as the undisputed leader in a category you own. - We craft your story to inspire belief, loyalty, and action. - We design strategies that empower your customers to amplify your mission and drive your growth. - We don�t build noise. We build businesses that make people say: �Where has this been all my life?� Want to find someone who's able to translate our mission/values into a logo that stands out. In the proposal, would be good to see a few approaches. Would be good to have a icon that comes with the logo For the proposal, please share past work that is closest in style to what this logo would look like Deliverables - Original file + logo in different formats (JPG, PNG, SVG) - Logos in light and dark mode - Proposal for brand colors to keep overall branding consistent with the logo","Hi Usman! Mindshare Lab isn�t just building brands you're creating movements that stick. You�re looking for a logo and icon that captures leadership, belief, and lasting impact not just design, but a symbol that defines a category. The focus is clear: bold, meaningful branding that feels inevitable, not trendy. I�ve worked with global brands, and know how to turn a mission like yours into a visual that demands attention. If there�s any reference or brief attached, I�ll make sure the final delivery and stands out in the sea of sameness. Check out my portfolio link to get know about my style https://docsend.com/v/ftp56/logofolio Best regards, Sumaiya."
Clean Up & Redesign 10-Slide Pitch Deck (Quick Turnaround),"I�m looking for a skilled presentation designer to redesign a 10-slide pitch deck to make it more professional, visually appealing, and consistent with our brand. The content is already written � your job is to clean up the layout, improve visual hierarchy, and add custom graphics or icons where appropriate. Deliverables: � Redesigned 10-slide deck in PowerPoint or Google Slides � Consistent use of fonts, colors, and spacing � Custom icons/visuals to simplify key points � Final version delivered within 48 hours Requirements: � Strong portfolio of pitch deck or presentation work � Eye for clean, modern design � Ability to follow brand guidelines � Quick and clear communication This is a one-time task, but great work could lead to more projects. ","Hi Noshair! I�d love to help redesign your 10-slide presentation to make it look more professional and visually strong, while staying true to your brand. What specific parts of your current pitch deck do you think need the most work? With over 4 years of experience in presentation design, I know how to create clean, eye-catching slides that flow well. I�ll fix the layout, make sure your key points stand out, and add custom visuals to support your message. You�ll get a polished version within 48 hours, all based on your guidelines. I�ve attached some past work for you to check out. Let me know if you have any questions. I�m excited to help you improve your presentation! Regards, Sumaiya."
Brochure Design in Canva Pro for Resume Presentation,"I seek a creative designer to create a visually appealing 4-page A4 brochure in Canva Pro. The content is ready, featuring Robbert as the brand. Robbert is a finance specialist and wants to present himself in a reader friendlier way than the classic resume, and needs to be transformed into an engaging layout that ensures easy readability and insightful presentation. It should NOT look like a cv / resume. The ideal candidate will have a strong eye for design and the ability to enhance the existing content with attractive graphics and formatting. Familiarity with Canva Pro is essential, we will collaborate directly on my Canva project using Canva�s sharing features, while managing all communication and payments securely through Upwork. I will share a draft version with what I came up so far, so you get an idea of the content. If you have a portfolio showcasing similar work, I would love to see it! ","Hi there! I�d love to help turn your finance experience into something that�s eye-catching and tells a story, not just lists details. I know this shouldn�t look like a CV; it should be a marketing piece that presents Robbert in the best way. I can help with that! I�ll take your content and turn it into a stylish, easy-to-read 4-page brochure that shows off your skills in a fresh and engaging way. Plus, I love working in Canva Pro! We can work together directly in Canva so you can see the process. With 12 years of design experience, I specialize in creating brochures, pitch decks, and marketing materials that are attractive and also grab attention. I�ve also attached a few similar pieces I�ve done. Do you have any specific ideas or themes you want to explore? Let�s make Robbert�s brand shine in a way that stands out! Thank you, Sumaiya."
Logo Cleanup & Finalization (Based on Existing Design),"We already have a solid logo draft designed on Canva � the concept is locked, but we want to polish it for professional use. We�re looking for someone to: 1. Refine the layout, proportions, and alignment 2. Tweak or enhance a few icons while keeping the current theme 3. Create 5 clean color variations suitable for light/dark backgrounds (black, white, etc.) No need for new concepts � we just need someone with a strong eye for design hygiene and branding consistency. I need the final outputs to be delivered by May 1, 2025.","Hi there! I really like that you�ve already decided on the logo concept now it just needs a final polish to make it look professional. I can help fix the layout, adjust the proportions, and make everything look clean and balanced. Just wondering what file format is your Canva logo in right now? I�ll also make 5 color versions that work well on both light and dark backgrounds, while keeping your original style. I�ve been designing for 4 years and know how to keep things looking sharp and consistent. I�ve attached some examples of logos I�ve cleaned up for other clients. https://docsend.com/v/ftp56/logofolio Will you be exporting it for me to work on? Let�s make sure your logo is ready to shine by May 1! Thank you, Sumaiya"
Need designer to move a slide deck to Google Slides,need a designer to help me convert a slide deck into google slides. should be a quick job - hour or less! looking to get it done wednesday.,"Hi Matt! I can efficiently convert your slide deck into Google Slides, ensuring it maintains a polished and professional look. Do you have any specific design elements or branding guidelines that need to be followed? With my 4 years experience in presentation design, I can quickly adapt the slides to fit your vision while keeping it engaging for your audience. I�m available for a quick turnaround and can ensure the job is completed within an hour. If you�d like to discuss any particular details or preferences, I�m here to help! Best Regards, Sumaiya."
PowerPoint Presentation and Pitch Deck Redesign Needed,"We are seeking an experienced designer to help us redesign our PowerPoint presentation and pitch deck to enhance visual appeal and effectiveness. Needs to incorporate suggestions below as well as provide cleaner, more appealing design - Let's start with the easy part - the Powerpoint. I like that it is crisp and concise. I would suggest you consider the following changes: � Drop the ""country"" designations. I am not sure of they are critical, but they are definitely distracting and a confusing detail for someone looking at this business model for the first time. � Consider simplifying the actors to: o Seller or Provider or Crypto Seller or Crypto Seller o Buyer or Customer o Crypto Broker o Capital Provider or Capital Partner � Slide 3 does not render well on a phone - background graphic makes text unreadable (fine on computer) � Most slides could use ""wordsmithing"" � I think there is an error on Slide 4 - In the first 2 steps, the ""USA seller"" transfers both cash and Crypto? This makes no sense. The first sub-transaction should be the Capital Provider moving cash to Escrow. � Slide 5 refers to a Swap Agreement. I don't know if you are using this term intentionally because it is a common term in the Crypto community, but a ""Swap Agreement"" in the rest of the financial world has a very different connotation - one that always includes a time frame. � Slide 5 also refers to an example that does not exist. � The Profit Margins page is very weak and should be the most attractive one for the ""Investor"". It should include some sort of Net Profits over time, preferably with growth. � Slide 7 - it is illegal (and definitely not recommended) for a fundraiser to provide tax advice. Too many variables. � Slide 8 - If this slide is supposed to highlight why to invest, it falls short by not emphasizing the ""magic"", or supporting any of the statements, which otherwise seems very generic. In addition to my previous comments, the slide the really describes the business is slide 4 (Transaction Process). I would recommend changes this slide in 2 ways: � Separate the ""happy path"" from the ""unhappy path"". Only discuss the ways things should work on slide 4 (No ""fails""). � Create another slide to highlight what can go wrong. This could be a duplicate of the current slide with just the fails, or it can be depicted as a Risk / Mitigation table. It's very important for investors to develop a comfort level by knowing that you have identified the risk points and that they understand the risks. Also gives you opportunity to add risk points without complicating the basic flow. When the basic flow is simple, people can wrap their minds around it much more easily. I like slide 8, but it seems disconnected from the rest of the presentation. I think the role / usage Escrow Account needs to be mentioned or even explained in other slides and then this slide would provide a much more meaningful summary. Consider moving it up close to Slide 4. In addition to my previous comments, the slide the really describes the business is slide 4 (Transaction Process). I would recommend changes this slide in 2 ways: Separate the ""happy path"" from the ""unhappy path"". Only discuss the ways things should work on slide 4 (No ""fails""). Create another slide to highlight what can go wrong. This could be a duplicate of the current slide with just the fails, or it can be depicted as a Risk / Mitigation table. It's very important for investors to develop a comfort level by knowing that you have identified the risk points and that they understand the risks. Also gives you opportunity to add risk points without complicating the basic flow. When the basic flow is simple, people can wrap their minds around it much more easily. I like slide 8, but it seems disconnected from the rest of the presentation. I think the role / usage Escrow Account needs to be mentioned or even explained in other slides and then this slide would provide a much more meaningful summary. Consider moving it up close to Slide 4. I attached these 2 tables as images (from the spreadsheet). Some people will skip the rest of the presentation and jump straight to these. I need this by end of day thursday (one day) so only bid if you can turnaround very quickly","Hi Joe! Can we enhance the clarity of your presentation by simplifying some content and restructuring key slides? For instance, Slide 4 can indeed be improved by clearly separating the happy path and the unhappy path to make it more digestible for investors. I have over 4 years of experience in making presentations look clear and professional. I can help improve your PowerPoint by fixing the things you mentioned, making the message simple, and making each slide look better and match your ideas. I can work quickly and make sure the final version is ready by the end of the day on Thursday. Best Regards, Sumaiya."
Infographic Designer Needed,"Hello! I'm looking for a creative and reliable infographic designer who is quick, detail-oriented, and very responsive. This job is not for slow movers or people who disappear for hours. I�m working fast � and I need someone who can match that energy and deliver beautiful infographic designs with same-day or next-day turnaround. ? What I Need: Infographic design (mostly food/restaurant/business content) Clean, modern, brand-aligned look Must be flexible and open to quick edits (I don�t want to wait 12+ hours for minor revisions) Quick communication (please don�t make me fall asleep waiting) Please include: 2�3 infographic samples Your working hours and timezone Looking forward to working with someone fast, flexible, and creative! Thanks, ","Hey Ali! I understand the need for quick, creative, and high-quality infographic designs that match your energy. With my experience designing modern, clean, and brand-aligned infographics for food, restaurant, and business content, I can deliver exactly what you're looking for with a fast turnaround and responsive communication. You can check out some of my previous work attached below. I'm available to work in any U.S. time zone. Let�s chat to ensure everything aligns with your vision. Best, Sumaiya."
PowerPoint Presentation Design for Football Tournament,"**Job Description:** Seeking a creative designer to craft an engaging PowerPoint presentation for an upcoming football tournament. The presentation should highlight teams, schedules, and key details while being visually appealing for players and spectators. Experience in sports-related presentations is preferred. Please include your portfolio and design style in your proposal. Tournament details: TOURNAMENT OVERVIEW � Name: 5-a-Side Daylong Football Tournament � Format: 5 players on the field, 2 extra players (rolling substitution allowed) � Match Duration: 20 minutes (2 halves of 10 mins, no extra time in group stage) � Date: Daylong Event (All matches completed in one day) � Total Teams: 12 � Groups: 4 groups (A, B, C, D), 3 teams per group � Group Matches: 3 matches per group � 4 groups = 12 � Knockouts: o Quarter-finals: 4 matches o Semi-finals: 2 matches o Final: 1 match o Total Matches: 19 Advancement & Awards � Top 2 teams from each group advance to quarter-finals � Champion Prize: 60,000 Taka � Runner-Up Prize: 40,000 Taka � Trophies: 2 (Champion & Runner-up) � Medals: 10 per team (Champion & Runner-up) TOURNAMENT RULES Match Format � 20-minute matches (10-minute halves, 5-min break in knockouts if needed) � Knockout stage only: o If draw ? 5 minutes extra time o If still draw ? Penalty shootout (3 kicks per team, then sudden death) Team Composition � 5 players on field + 2 substitutes (Total squad = 7) � Rolling substitution allowed at any time, with referee awareness Points System (Group Stage) � Win = 3 pts, Draw = 1 pt, Loss = 0 pts � Tie-breakers: 1. Goal Difference 2. Goals Scored 3. Head-to-Head Result 4. Toss (if all else equal) Disciplinary Rules � Yellow Card = Warning � 2 Yellow Cards in tournament = 1 match suspension � Red Card = Immediate suspension + review � Unsporting behavior may result in disqualification Gear � Mandatory: Shin guards, proper footwear (no metal studs) � Uniforms must be clearly numbered TOURNAMENT BUDGET (Excludes Marketing & Ground Preparation) Category Details Estimated Cost (Taka) Prize Money Champion: 60,000 + Runner-up: 40,000 = 100,000 Trophies & Medals 2 trophies + 14 medals (7 per team) = 6,000 Referees 1 person � 2000 = 2,000 Linesmen 2 people � 1000 = 2,000 Ball Boys 3 people � 500 = 7,600 Tournament Committee 5 members � 1,000 each = 5,000 Logistics & Equipment Match balls, bibs, cones, whistles, first-aid, water = 5,000 Refreshments Snacks & water for staff and officials = 3,000 Total = 1,30,600","Greetings, Every project has an outcome, and I make sure that you aim for SUCCESS, not excuses. That�s why I offer winning deals for my clients. Check out some of my best past work attached below. I am confident in my abilities, which is why I�m offering unlimited revisions with a money-back guarantee if you're not satisfied. Let me help I'm here to collaborate with you and refine your ideas. Ready when you are! Cheers, Sumaiya."
Design a Book Cover,"We are seeking a highly skilled graphic designer to create an elegant, and visually stunning book cover (11 x 11 inches) Scope of Work: Front cover, back cover, and spine design (full wrap layout) Incorporate high-resolution Arabian horse imagery (provided) Elegant typography reflecting heritage and refinement Integrate space for book title, subtitle, author name, and logo Design consistent with our interior aesthetic (luxury, prestige, heritage) Style and Inspiration: Timeless, classical, luxury feel Rich tones (gold, deep brown, royal blue, ivory) Serif fonts (elegant, refined) + Arabic calligraphy style hints if possible Minimalistic but rich�clean layout with strong emotional visual impact Technical Specifications: Full print resolution (300 DPI) CMYK color mode for printing Include 3mm bleed on all sides Final deliverables: Print-ready PDF, layered source files (PSD, AI, or INDD) No ready-made templates No artificial intelligence tools","Hi Ahmed! Every project has an outcome, and I make sure that you aim for SUCCESS, not excuses. That�s why I offer winning deals for my clients. Check out some of my best past work attached below. https://docsend.com/v/ftp56/bookdesign I am confident in my abilities, which is why I�m offering unlimited revisions with a money-back guarantee if you're not satisfied. Let me help I'm here to collaborate with you and refine your ideas. Ready when you are! Cheers, Sumaiya."
Luxury Graphic Designer for Social Media,"We are seeking a talented designer to create sophisticated and high-end graphics tailored for our social media platforms. The ideal candidate should have a strong portfolio showcasing luxury design aesthetics and a keen understanding of branding. The designer will collaborate closely with our marketing team to develop visuals that elevate our brand presence and engage our audience. If you are passionate about luxury design and have the skills to create stunning graphics, we'd love to see your work!","Hi Meryem! I understand you�re busy, so let me take the pressure off you. I�ll make this process easy, fast, and tailored to your needs, delivering results that go beyond your expectations. Your luxury social media design will be top-quality: polished, impactful, and exactly what you have in mind. Think of it as turning ideas into visuals that grab attention. Check out my portfolio link attached below https://docsend.com/v/ftp56/socialmedia Let�s talk about your goals and how I can help make your project stand out. Best, Sumaiya."
Slide Deck Recreation Specialist Needed,"We are seeking a talented freelancer to re-create an existing slideshow for our project. The ideal candidate should have experience in designing engaging presentations that effectively communicate our message. Attention to detail and creativity are crucial in ensuring that the new slideshow reflects our brand�s identity and enhances audience engagement. If you have a passion for visual storytelling and the skills to bring our ideas to life, we�d love to hear from you!","Hi Blake! I don't write long proposals saying I could do this, do that bla bla bla. My work speaks for itself. All I have to say is I'm an expert in this field and ready to take on your project immediately. You can see my work samples attached below. I'll offer you fast turnaround, free unlimited revisions and a money-back guarantee if you aren't satisfied with my work. So what are you waiting for? Press the hire button and let's begin! Cheers, Sumaiya."
